"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","EC.1.1.1.122","Genotype","MUT",0.194643435455427,0.097261028983782,90,74,0.0485559384133541,0.212300023795418,"D-threo-aldose 1-dehydrogenase"
"2","EC.1.1.1.173","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"L-rhamnose 1-dehydrogenase"
"3","EC.1.1.1.276","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Serine 3-dehydrogenase (NADP(+))"
"4","EC.1.1.1.312","Genotype","MUT",0.252241063152413,0.0800609562673818,90,72,0.00224976205629741,0.0225726744883231,"2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase"
"5","EC.1.1.1.376","Genotype","MUT",0.218095831295637,0.0851620795098635,90,73,0.0122044228238893,0.069596963501647,"L-arabinose 1-dehydrogenase (NAD(P)(+))"
"6","EC.1.1.1.377","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"L-rhamnose 1-dehydrogenase (NADP(+))"
"7","EC.1.1.1.378","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"L-rhamnose 1-dehydrogenase (NAD(P)(+))"
"8","EC.1.1.1.48","Genotype","MUT",0.218095831295656,0.0851620795098635,90,73,0.0122044228238832,0.069596963501647,"D-galactose 1-dehydrogenase"
"9","EC.1.1.1.90","Genotype","MUT",-1.43767674415195,0.710193842166188,90,90,0.0537434370593749,0.230418464130291,"Aryl-alcohol dehydrogenase"
"10","EC.1.1.9.1","Genotype","MUT",0.251731253450333,0.0800209892299094,90,72,0.00228302957312414,0.0225726744883231,"Alcohol dehydrogenase (azurin)"
"11","EC.1.1.99.28","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Glucose-fructose oxidoreductase"
"12","EC.1.13.11.25","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"dioxygenase"
"13","EC.1.13.11.27","Genotype","MUT",0.187917581617817,0.0901499022071279,90,90,0.0474871918502579,0.20803912620113,"4-hydroxyphenylpyruvate dioxygenase"
"14","EC.1.13.11.5","Genotype","MUT",0.18699532280598,0.0908586121246526,90,90,0.0501492422938372,0.217828577675002,"Homogentisate 1,2-dioxygenase"
"15","EC.1.13.11.57","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"Gallate dioxygenase"
"16","EC.1.13.11.8","Genotype","MUT",0.25393039042837,0.080568673701107,90,72,0.00224210592022806,0.0225726744883231,"Protocatechuate 4,5-dioxygenase"
"17","EC.1.13.11.9","Genotype","MUT",0.144188404647107,0.0719455831049348,90,73,0.0560034248033141,0.237494677270905,"2,5-dihydroxypyridine 5,6-dioxygenase"
"18","EC.1.13.12.3","Genotype","MUT",0.177066685324918,0.0719973190951333,90,73,0.0211847785169136,0.108770600928517,"Tryptophan 2-monooxygenase"
"19","EC.1.14.13.129","Genotype","MUT",0.196911416983303,0.0619809632876936,90,72,0.00393153609628602,0.0318010325553293,"Beta-carotene 3-hydroxylase"
"20","EC.1.14.13.142","Genotype","MUT",0.177066685324935,0.0645717781823926,90,72,0.0111150727800591,0.0651727608815092,"3-ketosteroid 9-alpha-monooxygenase"
"21","EC.1.14.13.148","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"Trimethylamine monooxygenase"
"22","EC.1.14.14.12","Genotype","MUT",0.143733351991597,0.0718113967098501,90,73,0.0562996878658695,0.238157268270125,"3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
"23","EC.1.14.19.9","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Tryptophan 7-halogenase"
"24","EC.1.2.3.3","Genotype","MUT",-1.57792359053449,0.801453229410742,90,90,0.0601535081547517,0.249314867243898,"Pyruvate oxidase"
"25","EC.1.3.99.4","Genotype","MUT",0.20828318004567,0.0618917521403109,90,72,0.00247133507792455,0.0236221119136684,"3-oxosteroid 1-dehydrogenase"
"26","EC.1.3.99.5","Genotype","MUT",0.177066685324922,0.0645717781823578,90,72,0.0111150727786774,0.0651727608815092,"3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)"
"27","EC.1.4.1.3","Genotype","MUT",-1.27627619636126,0.630142019479436,90,89,0.0536299536125657,0.230229949921993,"Glutamate dehydrogenase (NAD(P)(+))"
"28","EC.1.4.9.1","Genotype","MUT",0.251429164629025,0.0799996145012525,90,72,0.00230361231191122,0.0225726744883231,"Methylamine dehydrogenase (amicyanin)"
"29","EC.1.4.99.6","Genotype","MUT",0.236974869820637,0.112798310435216,90,83,0.0458996017730053,0.202827860002927,"D-arginine dehydrogenase"
"30","EC.1.5.1.21","Genotype","MUT",0.177066685324918,0.0719973190951333,90,73,0.0211847785169136,0.108770600928517,"1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)"
"31","EC.2.1.1.152","Genotype","MUT",0.164292096544364,0.0786930799550401,90,74,0.0471687979737261,0.207293440819331,"Precorrin-6A synthase (deacetylating)"
"32","EC.2.3.1.168","Genotype","MUT",0.319146316850362,0.150089026618585,90,90,0.043523714516033,0.195193693266217,"Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase"
"33","EC.2.3.1.178","Genotype","MUT",0.251429164628993,0.0799996145012526,90,72,0.00230361231190849,0.0225726744883231,"Diaminobutyrate acetyltransferase"
