"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","K00035","Genotype","MUT",0.218195690620671,0.0854980335456334,90,73,0.0125415396373226,0.0420854150066298,"gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]"
"2","K00118","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]"
"3","K01027","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5]"
"4","K01067","Genotype","MUT",0.25039515945864,0.082395183932967,90,72,0.0054976434958693,0.021184622557198,"E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]"
"5","K01083","Genotype","MUT",0.251529023953997,0.0860869537138824,90,73,0.00448194661900627,0.0178628517821745,"E3.1.3.8; 3-phytase [EC:3.1.3.8]"
"6","K01283","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
"7","K01702","Genotype","MUT",0.218195690620671,0.0854980335456334,90,73,0.0125415396373226,0.0420854150066298,"LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]"
"8","K02021","Genotype","MUT",0.197329672372121,0.0738157596424308,90,73,0.0130390390434068,0.0435496398366934,"ABC.MR; putative ABC transport system ATP-binding protein"
"9","K02281","Genotype","MUT",0.218195690620675,0.0854980335456334,90,73,0.0125415396373213,0.0420854150066298,"cpaD; pilus assembly protein CpaD"
"10","K02351","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"K02351; putative membrane protein"
"11","K03201","Genotype","MUT",0.218195690620671,0.0854980335456334,90,73,0.0125415396373226,0.0420854150066298,"virB6, lvhB6; type IV secretion system protein VirB6"
"12","K03342","Genotype","MUT",0.268748342897768,0.095791685440518,90,90,0.00958396796979928,0.0339765653348892,"pabBC; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]"
"13","K03829","Genotype","MUT",0.284722276886878,0.0982051232150416,90,72,0.00768124857017891,0.0281714714035872,"yedL; putative acetyltransferase [EC:2.3.1.-]"
"14","K04100","Genotype","MUT",0.25403024975335,0.081837166813894,90,72,0.00261018499508234,0.0115724234138842,"ligA; protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]"
"15","K04101","Genotype","MUT",0.25403024975335,0.081837166813894,90,72,0.00261018499508234,0.0115724234138842,"ligB; protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]"
"16","K05886","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]"
"17","K05898","Genotype","MUT",0.208383039370743,0.0657319693183844,90,72,0.00399717219184291,0.0161432584576981,"kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]"
"18","K06118","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"SQD1, sqdB; UDP-sulfoquinovose synthase [EC:3.13.1.1]"
"19","K06443","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"lcyB, crtL1, crtY; lycopene beta-cyclase [EC:5.5.1.19]"
"20","K06610","Genotype","MUT",0.248910783198036,0.0942326109487445,90,74,0.0098628877769323,0.0348156827204645,"iolF; MFS transporter, SP family, inositol transporter"
"21","K06718","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]"
"22","K06720","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"ectC; L-ectoine synthase [EC:4.2.1.108]"
"23","K06953","Genotype","MUT",0.218195690620675,0.0854980335456334,90,73,0.0125415396373325,0.0420854150066298,"K06953; uncharacterized protein"
"24","K07241","Genotype","MUT",0.283737431748073,0.09765800119417,90,72,0.00756966716823677,0.0278437205582525,"nixA; high-affinity nickel-transport protein"
"25","K07265","Genotype","MUT",0.251326405435096,0.0808473034106959,90,72,0.00257440831787453,0.0114315988400857,"kpsS, lipB; capsular polysaccharide export protein"
"26","K07266","Genotype","MUT",0.251326405435096,0.0808473034106959,90,72,0.00257440831787453,0.0114315988400857,"kpsC, lipA; capsular polysaccharide export protein"
"27","K08685","Genotype","MUT",0.251529023954,0.0808541649044265,90,72,0.00255699041624968,0.0113745822620677,"qhpA; quinohemoprotein amine dehydrogenase [EC:1.4.9.1]"
"28","K08988","Genotype","MUT",0.197011276308297,0.073701476269004,90,73,0.0130442927691106,0.0435625432788076,"K08988; putative membrane protein"
