Sex_Genotype,Genotype,Sex,Time,Average_FP,Std_Error
F_HET,HET,F,5,0,0
F_HET,HET,F,10,1.857142857,0.9863007227
F_HET,HET,F,15,2.142857143,1.056241572
F_HET,HET,F,30,3.142857143,1.078547776
F_HET,HET,F,45,4.142857143,1.404560115
F_HET,HET,F,60,4.428571429,1.616244071
F_MUT,MUT,F,5,0.1428571429,0.1428571429
F_MUT,MUT,F,10,0.8081220356,0.8081220356
F_MUT,MUT,F,15,0.8844845534,0.8844845534
F_MUT,MUT,F,30,1.298874447,1.298874447
F_MUT,MUT,F,45,1.223355484,1.223355484
F_MUT,MUT,F,60,1.062662553,1.062662553
F_WT,WT,F,5,4.333333333,0.8027729719
F_WT,WT,F,10,5.166666667,0.9457507306
F_WT,WT,F,15,5.833333333,1.013793755
F_WT,WT,F,30,7.333333333,1.145037602
F_WT,WT,F,45,8.833333333,1.351953319
F_WT,WT,F,60,9.166666667,1.579381032
M_HET,HET,M,5,0.5555555556,0.3767961102
M_HET,HET,M,10,1.222222222,0.7027283689
M_HET,HET,M,15,2.555555556,0.7657804862
M_HET,HET,M,30,4,1.190238071
M_HET,HET,M,45,4.555555556,1.415304356
M_HET,HET,M,60,4.888888889,1.558528904
M_MUT,MUT,M,5,1.666666667,0.7637626158
M_MUT,MUT,M,10,2.666666667,0.7637626158
M_MUT,MUT,M,15,3,1
M_MUT,MUT,M,30,3.666666667,1.527525232
M_MUT,MUT,M,45,6.333333333,2.081665999
M_MUT,MUT,M,60,7.333333333,2.020725942
M_WT,WT,M,5,1.9,0.7666666667
M_WT,WT,M,10,2.8,0.8
M_WT,WT,M,15,3.2,0.7717224602
M_WT,WT,M,30,4,0.8563488386
M_WT,WT,M,45,4.8,1.019803903
M_WT,WT,M,60,5.6,1.275408431
