"PFF_Jejunum_11"	"PFF_Jejunum_12"	"PFF_Jejunum_13"	"PFF_Jejunum_14"	"PFF_Jejunum_15"	"PFF_Jejunum_16"	"PFF_Jejunum_17"	"PFF_Jejunum_18"	"PFF_Jejunum_19"	"PFF_Jejunum_1904"	"PFF_Jejunum_1906"	"PFF_Jejunum_1908"	"PFF_Jejunum_1910"	"PFF_Jejunum_1913"	"PFF_Jejunum_1914"	"PFF_Jejunum_1917"	"PFF_Jejunum_1920"	"PFF_Jejunum_1921"	"PFF_Jejunum_1937"	"PFF_Jejunum_1938"	"PFF_Jejunum_1942"	"PFF_Jejunum_1943"	"PFF_Jejunum_1944"	"PFF_Jejunum_1945"	"PFF_Jejunum_1946"	"PFF_Jejunum_21"	"PFF_Jejunum_25"	"PFF_Jejunum_27"	"PFF_Jejunum_28"	"PFF_Jejunum_30"	"PFF_Jejunum_32"	"PFF_Jejunum_35"	"PFF_Jejunum_36"	"PFF_Jejunum_37"
"k__Bacteria;p__;c__;o__;f__;g__"	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	0	0	0	0	0	0	0	0	8	267	0	0	0	618	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium"	0	0	5	0	0	0	5	0	0	0	35	0	0	0	3	0	0	5	0	0	0	0	0	0	12	0	0	0	12	0	8	16	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	3	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002"	0	0	398	279	0	0	20	0	76	969	0	118	0	684	0	0	0	0	0	577	3	0	0	76	95	0	52	6	0	0	339	0	31	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__"	13	0	11	7	0	15	0	0	0	8	0	14	3	0	4	16	0	0	0	0	9	7	0	4	0	6	0	0	6	0	15	13	8	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809"	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus"	192	59	221	664	38	493	32	5	69	172	0	62	13	213	51	109	13	0	76	28	344	361	142	146	8	65	26	174	233	144	138	36	277	49
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter"	12	0	0	0	0	24	0	0	0	0	0	0	0	0	6	9	0	0	8	0	0	0	0	0	0	6	0	0	0	0	10	13	0	0
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	0	0	0	0	0	0	79	0	265	0	11	97	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter"	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__"	19934	4930	16748	21292	4558	15778	4638	239	7243	18645	632	2735	8388	10636	8283	11112	5233	2217	13714	31104	11747	16745	8067	26053	7452	10698	13397	6606	25211	15368	20040	3521	2246	9883
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum"	457	109	329	74	146	0	100	0	179	362	36	86	707	179	209	205	77	48	519	683	63	64	0	1361	270	544	310	29	72	86	536	516	0	268
"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
