MouseID,First_average_VMax,middle_average_VMax,last_average_VMax,last-middle ,middle-first,Genotype,Q22,Sex,SLC,MouseID,AvePPI_70dB,AvePPI_75db,AvePPI_80dB,70db_Percent_Inhibition,75db_Percent_Inhibition,80db_Percent_Inhibition
107,484.8333333,386.6,366.6666667,Decrease,Decrease,107,WT,Female,MUT,107,218.2,128.2,80.5,43.55923435,66.83911019,79.17744439
108,49.83333333,38.6,62.66666667,Increase,Decrease,108,WT,Male,HET,108,26.4,23.6,20.2,31.60621762,38.86010363,47.66839378
109,47.33333333,38.2,41.5,Increase,Decrease,109,WT,Female,WT,109,26.8,24.6,24.1,29.84293194,35.60209424,36.91099476
405,12.5,14.2,13,Decrease,Increase,405,WT,Male,MUT,,12.3,13.9,13.1,13.38028169,2.112676056,7.746478873
406,56.5,43.6,26.33333333,Decrease,Decrease,406,KO,Male,MUT,,43.9,42.6,43.6,-0.6880733945,2.293577982,0
407,17.33333333,15.9,15.16666667,Decrease,Decrease,407,KO,Female,MUT,,15,14.6,14.5,5.660377358,8.176100629,8.805031447
408,231.3333333,184,161,Decrease,Decrease,408,WT,Female,WT,,80.5,46.5,37.3,56.25,74.72826087,79.72826087
411,131.3333333,118.4,124.1666667,Increase,Decrease,411,WT,Male,WT,,102.9,51.5,32.7,13.09121622,56.50337838,72.38175676
517,171.3333333,224.1,77.66666667,Decrease,Increase,517,WT,Female,MUT,517,90.6,39.8,45.7,59.57161981,82.2400714,79.60731816
518,76.66666667,79.2,70,Decrease,Increase,518,WT,Female,MUT,518,30.3,29,29,61.74242424,63.38383838,63.38383838
534,241.1666667,282.2,260.1666667,Decrease,Increase,534,KO,Female,MUT,534,209.2,160.3,149.2,25.8681786,43.19631467,47.12969525
535,83.66666667,70.2,55.66666667,Decrease,Decrease,535,WT,Female,MUT,535,38.2,27.9,24.9,45.58404558,60.25641026,64.52991453
561,1167.333333,842.2,715,Decrease,Decrease,561,KO,Male,WT,561,740.9,471.3,438.7,12.02802185,44.03942057,47.9102351
562,446.5,291.5,423.3333333,Increase,Decrease,562,WT,Male,MUT,562,222.5,245.8,182.2,23.67066895,15.67753002,37.49571184
563,293.3333333,295.5,189,Decrease,Increase,563,KO,Male,HET,563,175.9,97.1,45.5,40.47377327,67.14043993,84.60236887
564,184.8333333,130,189.5,Increase,Decrease,564,WT,Male,MUT,564,67.8,35,28.2,47.84615385,73.07692308,78.30769231
565,942.5,591.8,576.8333333,Decrease,Decrease,565,KO,Male,HET,565,613.4,471.1,309.4,-3.649881717,20.39540385,47.71882393
567,206.5,180,215,Increase,Decrease,567,WT,Female,HET,567,80.2,62.3,46.2,55.44444444,65.38888889,74.33333333
569,45.66666667,61.4,68,Increase,Increase,569,WT,Female,WT,569,31.3,27.6,25.5,49.0228013,55.04885993,58.46905537
