#OTU ID	PFF_Cecum_11	PFF_Cecum_12	PFF_Cecum_13	PFF_Cecum_14	PFF_Cecum_15	PFF_Cecum_16	PFF_Cecum_17	PFF_Cecum_18	PFF_Cecum_19	PFF_Cecum_1904	PFF_Cecum_1906	PFF_Cecum_1907	PFF_Cecum_1908	PFF_Cecum_1910	PFF_Cecum_1913	PFF_Cecum_1914	PFF_Cecum_1917	PFF_Cecum_1920	PFF_Cecum_1921	PFF_Cecum_1937	PFF_Cecum_1938	PFF_Cecum_1941	PFF_Cecum_1942	PFF_Cecum_1943	PFF_Cecum_1944	PFF_Cecum_1945	PFF_Cecum_21	PFF_Cecum_25	PFF_Cecum_27	PFF_Cecum_28	PFF_Cecum_30	PFF_Cecum_32	PFF_Cecum_35	PFF_Cecum_36	PFF_Cecum_37	PFF_Colon_11	PFF_Colon_12	PFF_Colon_13	PFF_Colon_14	PFF_Colon_15	PFF_Colon_16	PFF_Colon_17	PFF_Colon_18	PFF_Colon_19	PFF_Colon_1904	PFF_Colon_1906	PFF_Colon_1907	PFF_Colon_1908	PFF_Colon_1910	PFF_Colon_1913	PFF_Colon_1914	PFF_Colon_1917	PFF_Colon_1920	PFF_Colon_1921	PFF_Colon_1937	PFF_Colon_1938	PFF_Colon_1941	PFF_Colon_1942	PFF_Colon_1943	PFF_Colon_1944	PFF_Colon_1945	PFF_Colon_1946	PFF_Colon_21	PFF_Colon_25	PFF_Colon_27	PFF_Colon_28	PFF_Colon_30	PFF_Colon_32	PFF_Colon_35	PFF_Colon_36	PFF_Colon_37	PFF_Jejunum_11	PFF_Jejunum_12	PFF_Jejunum_13	PFF_Jejunum_14	PFF_Jejunum_15	PFF_Jejunum_16	PFF_Jejunum_17	PFF_Jejunum_18	PFF_Jejunum_19	PFF_Jejunum_1904	PFF_Jejunum_1906	PFF_Jejunum_1908	PFF_Jejunum_1910	PFF_Jejunum_1913	PFF_Jejunum_1914	PFF_Jejunum_1917	PFF_Jejunum_1920	PFF_Jejunum_1921	PFF_Jejunum_1937	PFF_Jejunum_1938	PFF_Jejunum_1942	PFF_Jejunum_1943	PFF_Jejunum_1944	PFF_Jejunum_1945	PFF_Jejunum_1946	PFF_Jejunum_21	PFF_Jejunum_25	PFF_Jejunum_27	PFF_Jejunum_28	PFF_Jejunum_30	PFF_Jejunum_32	PFF_Jejunum_35	PFF_Jejunum_36	PFF_Jejunum_37	PFF_Baseline_11	PFF_Baseline_12	PFF_Baseline_13	PFF_Baseline_14	PFF_Baseline_15	PFF_Baseline_16	PFF_Baseline_17	PFF_Baseline_18	PFF_Baseline_19	PFF_Baseline_1921	PFF_Baseline_1937	PFF_Baseline_1942	PFF_Baseline_1943	PFF_Baseline_1944	PFF_Baseline_1946	PFF_Baseline_25	PFF_Baseline_26	PFF_Baseline_27	PFF_Baseline_28	PFF_Baseline_30	PFF_Baseline_32	PFF_Baseline_35	PFF_Baseline_36	PFF_Baseline_37	taxonomy
k__Bacteria;p__;c__;o__;f__;g__	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	0	0	0	0	0	0	0	35	0	0	0	0	21	5	0	0	0	0	235	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	250	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	267	0	0	0	618	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	21	0	153	0	69	30	287	26	0	7	0	8	0	0	11	0	76	185	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	35	0	0	0	3	0	0	5	0	0	0	0	0	0	12	0	0	0	12	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	0	0	30	70	0	0	0	42	165	142	0	0	85	0	135	0	0	0	0	0	214	0	0	62	0	25	0	22	0	0	0	166	0	13	0	0	0	82	89	0	0	0	0	108	211	0	0	86	0	339	0	0	0	0	0	467	0	0	0	0	20	0	0	37	0	0	0	233	0	20	0	0	0	398	279	0	0	20	0	76	969	0	118	0	684	0	0	0	0	0	577	3	0	0	76	95	0	52	6	0	0	339	0	31	0	71	146	228	195	27	153	66	306	295	0	656	134	0	113	0	79	54	0	39	7	607	0	190	222	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__	0	0	0	0	0	0	0	0	4	0	5	0	10	0	0	0	5	0	0	0	5	0	0	0	0	0	0	4	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	13	0	11	7	0	15	0	0	0	8	0	14	3	0	4	16	0	0	0	0	9	7	0	4	0	6	0	0	6	0	15	13	8	0	8	13	7	17	14	3	0	11	8	0	20	0	0	0	7	0	8	0	0	9	9	6	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	22	17	36	54	34	18	25	62	83	58	44	48	20	17	66	73	23	6	26	58	44	11	86	38	35	30	16	13	61	96	62	134	32	142	26	45	23	0	28	8	26	17	9	66	37	23	36	14	10	61	86	12	0	38	30	28	27	29	23	26	6	30	13	18	28	40	28	87	11	153	17	192	59	221	664	38	493	32	5	69	172	0	62	13	213	51	109	13	0	76	28	344	361	142	146	8	65	26	174	233	144	138	36	277	49	53	49	50	34	32	30	44	40	31	23	94	29	20	57	64	47	43	43	100	44	67	40	16	35	
