Mouse ID,Trial 1 (s),Trial 2 (s),Trial 3 (s),Average_Latency,Genotype,Sex ,Batch,Day ,Weights,,\
1907,12,46.2,51.9,36.7,HET,F,1,one,22.6,,
1908,11.1,45.3,80,45.46666667,HET,F,2,one,21.4,,
1942,52.7,96.7,96.2,81.86666667,HET,F,3,one,23.2,,
18,37.9,68.6,78.4,61.63333333,HET,F,4,one,NA,,
32,67.4,79.3,114,86.9,HET,F,5,one,26,,
36,48.6,47.7,61.5,52.6,HET,F,6,one,33.5,,
1938,36.2,56.5,67.4,53.36666667,HET,M,1,one,30,,
1945,35.8,51.8,57.9,48.5,HET,M,2,one,28.4,,
1943,17.5,51.6,83.7,50.93333333,HET,M,3,one,24.9,,
28,26.3,34.7,38.8,33.26666667,HET,M,4,one,25.9,,
11,31.5,55.8,53.4,46.9,HET,M,5,one,27.7,,
16,36.4,43.1,33.9,37.8,HET,M,6,one,25.5,,
1910,51.2,45.9,75.3,57.46666667,MUT,F,1,one,24.9,,
1917,71.2,55.7,45,57.3,MUT,F,2,one,23,,
1921,46.7,59.2,87.4,64.43333333,MUT,F,3,one,20.8,,
1946,31.1,38.5,46.1,38.56666667,MUT,F,4,one,31.6,,
35,52.2,72.7,83.4,69.43333333,MUT,F,5,one,24.3,,
37,32.4,56.1,54.5,47.66666667,MUT,F,6,one,24.7,,
1904,22.2,37.9,65,41.7,MUT,M,1,one,NA,,
1913,23,39.8,49.4,37.4,MUT,M,2,one,28.5,,
1944,6.8,72.5,60.6,46.63333333,MUT,M,3,one,28.5,,
15,15.6,14.5,62.2,30.76666667,MUT,M,4,one,27.3,,
21,10.7,42.2,43.6,32.16666667,MUT,M,5,one,28.1,,
30,52.7,46.9,44,47.86666667,MUT,M,6,one,23.6,,
1920,63.9,69.7,56,63.2,WT,F,1,one,24.2,,
1941,56.6,112,123,97.2,WT,F,2,one,NA,,
17,38.7,96.1,102,78.93333333,WT,F,3,one,22,,
19,33.9,40.3,39.7,37.96666667,WT,F,4,one,21.3,,
25,54.7,97.1,60.9,70.9,WT,F,5,one,23,,
27,69.5,28.4,86.9,61.6,WT,F,6,one,24.9,,
1906,74.2,67.1,87.5,76.26666667,WT,M,1,one,31.2,,
1914,50,43,56.2,49.73333333,WT,M,2,one,26.6,,
1937,39.8,45.1,47.4,44.1,WT,M,3,one,29.3,,
12,51.1,44.1,71.4,55.53333333,WT,M,4,one,25.3,,
13,65,88.1,80.2,77.76666667,WT,M,5,one,26.9,,
14,73.8,34.2,33.4,47.13333333,WT,M,6,one,30,,
1942,51.3,144,144,113.1,HET,F,3,three,23.2,,
18,108,100,110,106,HET,F,4,three,NA,,
32,126,156,112,131.3333333,HET,F,5,three,26,,
36,74.5,70.7,100,81.73333333,HET,F,6,three,33.5,,
1943,73.5,136,123,110.8333333,HET,M,3,three,24.9,,
28,13.8,111,144,89.6,HET,M,4,three,25.9,,
11,58.6,85.8,91.8,78.73333333,HET,M,5,three,27.7,,
16,94.5,116,108,106.1666667,HET,M,6,three,25.5,,
1921,91.2,139,86.8,105.6666667,MUT,F,3,three,20.8,,
1946,14.6,39.9,61.3,38.6,MUT,F,4,three,31.6,,
35,84.2,112,103,99.73333333,MUT,F,5,three,24.3,,
37,66.1,66.9,76.3,69.76666667,MUT,F,6,three,24.7,,
1944,57.5,72,58.5,62.66666667,MUT,M,3,three,28.5,,
15,102,93,86.1,93.7,MUT,M,4,three,27.3,,
21,57.4,76.1,62.2,65.23333333,MUT,M,5,three,28.1,,
30,99.5,97,57.6,84.7,MUT,M,6,three,23.6,,
17,189,167,180,178.6666667,WT,F,3,three,22,,
19,109,115,126,116.6666667,WT,F,4,three,21.3,,
25,103,130,118,117,WT,F,5,three,23,,
27,115,161,176,150.6666667,WT,F,6,three,24.9,,
1937,94.3,84.6,104,94.3,WT,M,3,three,29.3,,
12,94.4,94.4,96.1,94.96666667,WT,M,4,three,25.3,,
13,125,89.8,23.6,79.46666667,WT,M,5,three,26.9,,
14,76,103,118,99,WT,M,6,three,30,,
1942,104,124,170,132.6666667,HET,F,3,two ,23.2,,
18,106,138,108,117.3333333,HET,F,4,two ,NA,,
32,71,129,107,102.3333333,HET,F,5,two ,26,,
36,77.5,55.9,70.4,67.93333333,HET,F,6,two ,33.5,,
1943,48,109,98.7,85.23333333,HET,M,3,two ,24.9,,
28,83.8,93.2,102,93,HET,M,4,two ,25.9,,
11,56.2,70.5,83.1,69.93333333,HET,M,5,two ,27.7,,
16,117,129,25.2,90.4,HET,M,6,two ,25.5,,
1921,17.6,98.8,107,74.46666667,MUT,F,3,two ,20.8,,
1946,13.7,47.3,34.4,31.8,MUT,F,4,two ,31.6,,
35,94.4,58.9,102,85.1,MUT,F,5,two ,24.3,,
37,51.2,56.9,68.6,58.9,MUT,F,6,two ,24.7,,
1944,30.6,85.4,91.7,69.23333333,MUT,M,3,two ,28.5,,
15,80.5,98.5,101,93.33333333,MUT,M,4,two ,27.3,,
21,40,50.3,46.2,45.5,MUT,M,5,two ,28.1,,
30,114,101,36.3,83.76666667,MUT,M,6,two ,23.6,,
17,79.3,142,144,121.7666667,WT,F,3,two ,22,,
19,51.2,88.9,37.9,59.33333333,WT,F,4,two ,21.3,,
25,86.4,133,104,107.8,WT,F,5,two ,23,,
